 Lambda  Total   N/N      N+N      N2+     
  808.8 1.49E-17 1.49E-17 0.00E+00 0.00E+00
  809.0 7.44E-18 7.44E-18 0.00E+00 0.00E+00
  810.0 1.56E-18 1.56E-18 0.00E+00 0.00E+00
  810.5 5.21E-18 5.21E-18 0.00E+00 0.00E+00
  811.5 1.86E-18 1.86E-18 0.00E+00 0.00E+00
  812.5 1.82E-17 1.82E-17 0.00E+00 0.00E+00
  813.5 4.84E-17 4.84E-17 0.00E+00 0.00E+00
  813.7 8.26E-17 8.26E-17 0.00E+00 0.00E+00
  815.0 4.84E-18 4.84E-18 0.00E+00 0.00E+00
  816.0 6.25E-18 6.25E-18 0.00E+00 0.00E+00
  817.5 7.80E-19 7.80E-19 0.00E+00 0.00E+00
  818.6 6.81E-17 6.81E-17 0.00E+00 0.00E+00
  819.0 4.24E-17 4.24E-17 0.00E+00 0.00E+00
  820.1 8.56E-18 8.56E-18 0.00E+00 0.00E+00
  820.3 4.35E-18 4.35E-18 0.00E+00 0.00E+00
  821.0 1.22E-17 1.22E-17 0.00E+00 0.00E+00
  821.2 2.08E-17 2.08E-17 0.00E+00 0.00E+00
  822.5 3.80E-19 3.80E-19 0.00E+00 0.00E+00
  822.6 1.12E-18 1.12E-18 0.00E+00 0.00E+00
  823.3 1.49E-18 1.49E-18 0.00E+00 0.00E+00
  824.5 1.19E-17 1.19E-17 0.00E+00 0.00E+00
  824.9 1.38E-17 1.38E-17 0.00E+00 0.00E+00
  825.2 1.49E-18 1.49E-18 0.00E+00 0.00E+00
  825.7 2.46E-17 2.46E-17 0.00E+00 0.00E+00
  826.0 1.67E-17 1.67E-17 0.00E+00 0.00E+00
  826.4 8.19E-18 8.19E-18 0.00E+00 0.00E+00
  828.0 7.56E-19 7.56E-19 0.00E+00 0.00E+00
  828.5 7.37E-18 7.37E-18 0.00E+00 0.00E+00
  828.6 4.84E-18 4.84E-18 0.00E+00 0.00E+00
  829.3 3.35E-18 3.35E-18 0.00E+00 0.00E+00
  831.5 3.01E-19 3.01E-19 0.00E+00 0.00E+00
  832.0 3.61E-18 3.61E-18 0.00E+00 0.00E+00
  833.0 5.50E-19 5.50E-19 0.00E+00 0.00E+00
  833.5 7.26E-18 7.26E-18 0.00E+00 0.00E+00
  834.1 5.58E-18 5.58E-18 0.00E+00 0.00E+00
  834.5 1.94E-18 1.94E-18 0.00E+00 0.00E+00
  835.0 1.84E-17 1.84E-17 0.00E+00 0.00E+00
  835.1 2.64E-17 2.64E-17 0.00E+00 0.00E+00
  836.5 1.09E-18 1.09E-18 0.00E+00 0.00E+00
  837.4 1.64E-17 1.64E-17 0.00E+00 0.00E+00
  837.5 1.64E-17 1.64E-17 0.00E+00 0.00E+00
  840.0 1.97E-18 1.97E-18 0.00E+00 0.00E+00
  840.8 2.16E-17 2.16E-17 0.00E+00 0.00E+00
  840.9 3.01E-17 3.01E-17 0.00E+00 0.00E+00
  841.5 1.30E-17 1.30E-17 0.00E+00 0.00E+00
  842.0 2.23E-17 2.23E-17 0.00E+00 0.00E+00
  842.2 2.94E-17 2.94E-17 0.00E+00 0.00E+00
  842.9 1.19E-17 1.19E-17 0.00E+00 0.00E+00
  843.5 1.12E-18 1.12E-18 0.00E+00 0.00E+00
  844.1 2.94E-17 2.94E-17 0.00E+00 0.00E+00
  844.2 2.12E-17 2.12E-17 0.00E+00 0.00E+00
  846.2 7.44E-19 7.44E-19 0.00E+00 0.00E+00
  846.9 5.51E-18 5.51E-18 0.00E+00 0.00E+00
  847.0 2.98E-18 2.98E-18 0.00E+00 0.00E+00
  848.2 4.09E-19 4.09E-19 0.00E+00 0.00E+00
  849.7 1.97E-17 1.97E-17 0.00E+00 0.00E+00
  850.0 2.85E-17 2.85E-17 0.00E+00 0.00E+00
  850.1 3.72E-17 3.72E-17 0.00E+00 0.00E+00
  852.5 1.15E-18 1.15E-18 0.00E+00 0.00E+00
  852.8 2.68E-18 2.68E-18 0.00E+00 0.00E+00
  853.5 3.35E-17 3.35E-17 0.00E+00 0.00E+00
  853.7 4.76E-17 4.76E-17 0.00E+00 0.00E+00
  855.0 1.86E-18 1.86E-18 0.00E+00 0.00E+00
  856.2 1.86E-17 1.86E-17 0.00E+00 0.00E+00
  856.3 2.46E-17 2.46E-17 0.00E+00 0.00E+00
  856.7 1.51E-18 1.51E-18 0.00E+00 0.00E+00
  857.1 2.20E-17 2.20E-17 0.00E+00 0.00E+00
  857.2 2.46E-17 2.46E-17 0.00E+00 0.00E+00
  859.0 3.31E-18 3.31E-18 0.00E+00 0.00E+00
  859.7 1.60E-18 1.60E-18 0.00E+00 0.00E+00
  859.8 5.54E-19 5.54E-19 0.00E+00 0.00E+00
  860.0 3.80E-19 3.80E-19 0.00E+00 0.00E+00
  860.8 8.84E-18 8.84E-18 0.00E+00 0.00E+00
  861.3 4.54E-19 4.54E-19 0.00E+00 0.00E+00
  862.0 5.81E-18 5.81E-18 0.00E+00 0.00E+00
  862.5 6.90E-19 6.90E-19 0.00E+00 0.00E+00
  863.3 7.44E-18 7.44E-18 0.00E+00 0.00E+00
  863.5 9.30E-18 9.30E-18 0.00E+00 0.00E+00
  864.2 5.99E-19 5.99E-19 0.00E+00 0.00E+00
  865.0 1.67E-17 1.67E-17 0.00E+00 0.00E+00
  865.4 2.87E-17 2.87E-17 0.00E+00 0.00E+00
  866.1 6.07E-19 6.07E-19 0.00E+00 0.00E+00
  866.5 2.34E-18 2.34E-18 0.00E+00 0.00E+00
  866.8 2.20E-17 2.20E-17 0.00E+00 0.00E+00
  867.0 3.80E-17 3.80E-17 0.00E+00 0.00E+00
  868.1 1.97E-17 1.97E-17 0.00E+00 0.00E+00
  870.0 5.29E-19 5.29E-19 0.00E+00 0.00E+00
  870.9 2.27E-17 2.27E-17 0.00E+00 0.00E+00
  871.5 3.13E-17 3.13E-17 0.00E+00 0.00E+00
  871.7 4.09E-17 4.09E-17 0.00E+00 0.00E+00
  873.2 2.62E-18 2.62E-18 0.00E+00 0.00E+00
  874.2 4.54E-19 4.54E-19 0.00E+00 0.00E+00
  875.0 2.75E-19 2.75E-19 0.00E+00 0.00E+00
  875.5 1.12E-17 1.12E-17 0.00E+00 0.00E+00
  876.2 4.17E-17 4.17E-17 0.00E+00 0.00E+00
  876.5 2.64E-17 2.64E-17 0.00E+00 0.00E+00
  877.4 1.34E-17 1.34E-17 0.00E+00 0.00E+00
  878.3 5.62E-18 5.62E-18 0.00E+00 0.00E+00
  879.0 1.82E-18 1.82E-18 0.00E+00 0.00E+00
  879.2 5.58E-18 5.58E-18 0.00E+00 0.00E+00
  879.6 6.70E-18 6.70E-18 0.00E+00 0.00E+00
  880.2 5.62E-19 5.62E-19 0.00E+00 0.00E+00
  881.0 4.47E-17 4.47E-17 0.00E+00 0.00E+00
  881.1 4.17E-17 4.17E-17 0.00E+00 0.00E+00
  882.0 8.19E-18 8.19E-18 0.00E+00 0.00E+00
  882.6 1.49E-17 1.49E-17 0.00E+00 0.00E+00
  882.7 2.16E-17 2.16E-17 0.00E+00 0.00E+00
  883.9 7.44E-18 7.44E-18 0.00E+00 0.00E+00
  885.0 3.57E-19 3.57E-19 0.00E+00 0.00E+00
  885.8 9.23E-18 9.23E-18 0.00E+00 0.00E+00
  886.0 2.20E-17 2.20E-17 0.00E+00 0.00E+00
  886.3 1.94E-17 1.94E-17 0.00E+00 0.00E+00
  886.4 7.52E-18 7.52E-18 0.00E+00 0.00E+00
  886.9 2.53E-17 2.53E-17 0.00E+00 0.00E+00
  887.0 1.67E-17 1.67E-17 0.00E+00 0.00E+00
  888.3 4.84E-19 4.84E-19 0.00E+00 0.00E+00
  888.9 1.08E-17 1.08E-17 0.00E+00 0.00E+00
  889.2 9.27E-18 9.27E-18 0.00E+00 0.00E+00
  890.5 4.17E-19 4.17E-19 0.00E+00 0.00E+00
  891.1 8.56E-18 8.56E-18 0.00E+00 0.00E+00
  892.2 1.23E-17 1.23E-17 0.00E+00 0.00E+00
  893.0 1.90E-18 1.90E-18 0.00E+00 0.00E+00
  893.2 4.32E-19 4.32E-19 0.00E+00 0.00E+00
  894.0 9.60E-18 9.60E-18 0.00E+00 0.00E+00
  895.5 4.39E-19 4.39E-19 0.00E+00 0.00E+00
  896.2 1.38E-17 1.38E-17 0.00E+00 0.00E+00
  897.2 3.30E-17 3.30E-17 0.00E+00 0.00E+00
  898.3 5.17E-18 5.17E-18 0.00E+00 0.00E+00
  899.0 9.30E-18 9.30E-18 0.00E+00 0.00E+00
  899.3 1.30E-17 1.30E-17 0.00E+00 0.00E+00
  899.8 8.93E-18 8.93E-18 0.00E+00 0.00E+00
  900.5 5.43E-19 5.43E-19 0.00E+00 0.00E+00
  900.8 1.90E-18 1.90E-18 0.00E+00 0.00E+00
  901.2 9.68E-18 9.68E-18 0.00E+00 0.00E+00
  901.3 1.19E-17 1.19E-17 0.00E+00 0.00E+00
  902.3 5.66E-19 5.66E-19 0.00E+00 0.00E+00
  902.5 1.34E-17 1.34E-17 0.00E+00 0.00E+00
  903.0 1.11E-17 1.11E-17 0.00E+00 0.00E+00
  903.6 1.67E-17 1.67E-17 0.00E+00 0.00E+00
  904.0 5.81E-19 5.81E-19 0.00E+00 0.00E+00
  904.7 1.67E-17 1.67E-17 0.00E+00 0.00E+00
  905.0 1.00E-17 1.00E-17 0.00E+00 0.00E+00
  907.0 6.18E-19 6.18E-19 0.00E+00 0.00E+00
  907.6 8.93E-18 8.93E-18 0.00E+00 0.00E+00
  908.0 7.44E-18 7.44E-18 0.00E+00 0.00E+00
  909.7 1.15E-18 1.15E-18 0.00E+00 0.00E+00
  910.0 6.14E-19 6.14E-19 0.00E+00 0.00E+00
  910.6 1.34E-17 1.34E-17 0.00E+00 0.00E+00
  910.8 5.58E-18 5.58E-18 0.00E+00 0.00E+00
  911.8 2.23E-18 2.23E-18 0.00E+00 0.00E+00
  912.0 7.63E-19 7.63E-19 0.00E+00 0.00E+00
  912.6 3.57E-17 3.57E-17 0.00E+00 0.00E+00
  912.7 6.92E-17 6.92E-17 0.00E+00 0.00E+00
  916.0 1.90E-19 1.90E-19 0.00E+00 0.00E+00
  916.4 1.97E-17 1.97E-17 0.00E+00 0.00E+00
  917.7 1.11E-17 1.11E-17 0.00E+00 0.00E+00
  919.2 1.08E-18 1.08E-18 0.00E+00 0.00E+00
  919.3 4.21E-19 4.21E-19 0.00E+00 0.00E+00
  920.0 2.81E-17 2.81E-17 0.00E+00 0.00E+00
  921.3 9.30E-18 9.30E-18 0.00E+00 0.00E+00
  922.0 1.30E-18 1.30E-18 0.00E+00 0.00E+00
  922.8 2.23E-17 2.23E-17 0.00E+00 0.00E+00
  923.0 1.11E-17 1.11E-17 0.00E+00 0.00E+00
  925.0 6.48E-19 6.48E-19 0.00E+00 0.00E+00
  926.1 8.56E-18 8.56E-18 0.00E+00 0.00E+00
  927.0 4.47E-18 4.47E-18 0.00E+00 0.00E+00
  927.7 2.61E-19 2.61E-19 0.00E+00 0.00E+00
  928.2 7.82E-19 7.82E-19 0.00E+00 0.00E+00
  928.7 3.35E-17 3.35E-17 0.00E+00 0.00E+00
  929.0 7.37E-17 7.37E-17 0.00E+00 0.00E+00
  931.5 5.95E-19 5.95E-19 0.00E+00 0.00E+00
  931.9 4.47E-18 4.47E-18 0.00E+00 0.00E+00
  932.5 3.72E-18 3.72E-18 0.00E+00 0.00E+00
  934.3 5.58E-20 5.58E-20 0.00E+00 0.00E+00
  934.5 5.21E-19 5.21E-19 0.00E+00 0.00E+00
  935.0 3.65E-18 3.65E-18 0.00E+00 0.00E+00
  935.3 3.35E-18 3.35E-18 0.00E+00 0.00E+00
  937.0 5.21E-20 5.21E-20 0.00E+00 0.00E+00
  937.9 1.08E-17 1.08E-17 0.00E+00 0.00E+00
  938.5 6.70E-17 6.70E-17 0.00E+00 0.00E+00
  938.8 9.16E-17 9.16E-17 0.00E+00 0.00E+00
  939.9 3.01E-17 3.01E-17 0.00E+00 0.00E+00
  940.5 3.80E-19 3.80E-19 0.00E+00 0.00E+00
  942.5 1.90E-17 1.90E-17 0.00E+00 0.00E+00
  945.5 8.20E-19 8.20E-19 0.00E+00 0.00E+00
  946.2 4.84E-18 4.84E-18 0.00E+00 0.00E+00
  946.7 5.58E-18 5.58E-18 0.00E+00 0.00E+00
  947.5 5.58E-19 5.58E-19 0.00E+00 0.00E+00
  948.0 7.63E-20 7.63E-20 0.00E+00 0.00E+00
  949.2 6.10E-18 6.10E-18 0.00E+00 0.00E+00
  950.0 5.77E-20 5.77E-20 0.00E+00 0.00E+00
  950.2 3.72E-19 3.72E-19 0.00E+00 0.00E+00
  951.2 4.76E-20 4.76E-20 0.00E+00 0.00E+00
  952.0 1.04E-19 1.04E-19 0.00E+00 0.00E+00
  953.0 2.08E-19 2.08E-19 0.00E+00 0.00E+00
  954.0 7.44E-20 7.44E-20 0.00E+00 0.00E+00
  954.5 4.17E-20 4.17E-20 0.00E+00 0.00E+00
  955.1 1.60E-17 1.60E-17 0.00E+00 0.00E+00
  955.5 1.86E-18 1.86E-18 0.00E+00 0.00E+00
  957.0 1.08E-18 1.08E-18 0.00E+00 0.00E+00
  958.0 1.86E-17 1.86E-17 0.00E+00 0.00E+00
  958.2 4.17E-17 4.17E-17 0.00E+00 0.00E+00
  958.8 3.01E-17 3.01E-17 0.00E+00 0.00E+00
  959.3 9.49E-20 9.49E-20 0.00E+00 0.00E+00
  960.0 2.94E-17 2.94E-17 0.00E+00 0.00E+00
  960.3 7.07E-17 7.07E-17 0.00E+00 0.00E+00
  963.5 1.60E-19 1.60E-19 0.00E+00 0.00E+00
  965.0 1.34E-18 1.34E-18 0.00E+00 0.00E+00
  965.5 4.84E-17 4.84E-17 0.00E+00 0.00E+00
  965.8 1.00E-16 1.00E-16 0.00E+00 0.00E+00
  970.0 5.21E-19 5.21E-19 0.00E+00 0.00E+00
  972.5 2.51E-16 2.51E-16 0.00E+00 0.00E+00
  976.0 9.49E-20 9.49E-20 0.00E+00 0.00E+00
  977.0 6.89E-20 6.89E-20 0.00E+00 0.00E+00
  978.0 5.47E-17 5.47E-17 0.00E+00 0.00E+00
