 Lambda  Total   sCH2/H2  CH3/H    CH2/H/H  CH4+     CH3+H    CH2+H2   CH+H2/H  H+CH3    CH/H2/H 
  977.0 4.40E-17 3.11E-17 4.98E-18 3.20E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.58E-18
  978.0 4.10E-17 2.90E-17 4.63E-18 2.98E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.07E-18
  979.8 4.10E-17 2.90E-17 4.60E-18 2.98E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.08E-18
  988.8 3.36E-17 2.38E-17 3.66E-18 2.43E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.85E-18
  989.8 3.80E-17 2.70E-17 4.12E-18 2.75E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.62E-18
  991.5 2.91E-17 2.07E-17 3.14E-18 2.10E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.08E-18
 1025.0 3.30E-17 2.37E-17 3.15E-18 2.34E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.93E-18
 1036.3 3.10E-17 2.23E-17 2.83E-18 2.18E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.62E-18
 1037.0 2.95E-17 2.13E-17 2.69E-18 2.08E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.35E-18
 1065.9 3.10E-17 2.25E-17 2.67E-18 1.88E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.64E-18
 1071.8 3.20E-17 2.30E-17 2.68E-18 5.99E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.72E-18
 1084.6 2.70E-17 1.89E-17 2.11E-18 1.42E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.59E-18
 1084.9 2.62E-17 1.83E-17 2.05E-18 1.40E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.45E-18
 1085.5 2.91E-17 2.03E-17 2.26E-18 1.60E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.93E-18
 1134.4 1.75E-17 1.09E-17 9.81E-19 3.23E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.38E-18
 1135.0 1.89E-17 1.18E-17 1.05E-18 3.52E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.56E-18
 1152.0 1.84E-17 1.10E-17 8.88E-19 4.25E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.28E-18
 1152.1 1.89E-17 1.13E-17 9.12E-19 4.38E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.34E-18
 1175.5 2.30E-17 1.29E-17 8.70E-19 6.75E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.47E-18
 1176.4 2.51E-17 1.40E-17 9.40E-19 7.43E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.68E-18
 1176.5 1.70E-17 9.51E-18 6.36E-19 5.03E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.82E-18
 1183.0 2.30E-17 1.26E-17 7.94E-19 7.21E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.36E-18
 1184.5 2.00E-17 1.09E-17 6.77E-19 6.35E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.03E-18
 1189.0 1.61E-17 8.70E-18 5.13E-19 5.30E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.58E-18
 1199.5 1.90E-17 9.97E-18 5.17E-19 6.78E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.73E-18
 1200.7 1.75E-17 9.15E-18 4.67E-19 6.30E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.58E-18
 1200.7 1.90E-17 9.93E-18 5.06E-19 6.84E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.72E-18
 1206.9 1.80E-17 9.24E-18 4.30E-19 6.78E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.55E-18
 1215.5 1.75E-17 8.76E-18 3.52E-19 6.99E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.40E-18
 1215.7 1.60E-17 8.00E-18 3.20E-19 6.40E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.28E-18
 1217.6 1.90E-17 9.89E-18 3.93E-19 7.08E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.63E-18
 1243.3 1.80E-17 1.44E-17 5.40E-19 1.81E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.25E-18
 1275.1 1.60E-17 1.30E-17 9.94E-19 9.60E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.03E-18
 1302.2 1.40E-17 1.15E-17 1.25E-18 3.55E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.44E-19
 1304.9 1.40E-17 1.16E-17 1.29E-18 3.06E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.39E-19
 1306.0 1.40E-17 1.16E-17 1.31E-18 2.87E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.36E-19
 1324.0 1.30E-17 1.08E-17 1.45E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 7.07E-19
 1330.0 1.10E-17 9.20E-18 1.29E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.04E-19
 1336.0 1.00E-17 8.39E-18 1.24E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.72E-19
 1362.0 6.85E-18 5.82E-18 1.03E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1370.0 3.20E-18 2.72E-18 4.80E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1380.0 2.20E-18 1.87E-18 3.30E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1390.0 1.20E-18 1.02E-18 1.80E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1400.0 6.80E-19 5.78E-19 1.02E-19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1410.0 3.60E-19 3.06E-19 5.40E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1420.0 1.60E-19 1.36E-19 2.40E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1430.0 7.80E-20 6.63E-20 1.17E-20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1440.0 2.20E-20 1.87E-20 3.30E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1450.0 8.00E-21 6.80E-21 1.20E-21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1460.0 2.80E-21 2.38E-21 4.20E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1470.0 7.90E-22 6.71E-22 1.19E-22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1480.0 2.80E-22 2.38E-22 4.20E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1490.0 8.60E-23 7.31E-23 1.29E-23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1500.0 3.80E-23 3.23E-23 5.70E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1510.0 2.30E-23 1.96E-23 3.45E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1520.0 1.60E-23 1.35E-23 2.51E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1530.0 1.20E-23 1.00E-23 2.00E-24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
